instancia,metodo,tiempo,tamaño,costo,iteraciones,T
att48,BL-Tabu,1259.49,48,12158,1000,1000
bayg29,BL-Tabu,749.543,29,1781,1000,1000
bays29,BL-Tabu,767.661,29,2096,1000,1000
berlin52,BL-Tabu,1423.79,52,8667,1000,1000
brazil58,BL-Tabu,1850.64,58,29406,1000,1000
burma14,BL-Tabu,672.062,14,3323,1000,1000
dantzig42,BL-Tabu,1023.45,42,856,1000,1000
eil51,BL-Tabu,1253.38,51,477,1000,1000
eil76,BL-Tabu,2878.9,76,610,1000,1000
fri26,BL-Tabu,742.534,26,1034,1000,1000
gr17,BL-Tabu,751.954,17,2085,1000,1000
gr21,BL-Tabu,552.653,21,3186,1000,1000
gr24,BL-Tabu,587.16,24,1442,1000,1000
gr48,BL-Tabu,1181.11,48,5827,1000,1000
gr96,BL-Tabu,5135.77,96,63008,1000,1000
hk48,BL-Tabu,1294.94,48,12472,1000,1000
kroA100,BL-Tabu,5568.87,100,24147,1000,1000
kroB100,BL-Tabu,5659.63,100,27869,1000,1000
kroC100,BL-Tabu,5542.49,100,25659,1000,1000
kroD100,BL-Tabu,5640.27,100,26579,1000,1000
kroE100,BL-Tabu,5671.14,100,26018,1000,1000
pr76,BL-Tabu,3096.24,76,119784,1000,1000
rat99,BL-Tabu,5671.54,99,1494,1000,1000
rd100,BL-Tabu,5656.11,100,9621,1000,1000
st70,BL-Tabu,2539.34,70,763,1000,1000
swiss42,BL-Tabu,1125.8,42,1478,1000,1000
ulysses16,BL-Tabu,634.1,16,6909,1000,1000
ulysses22,BL-Tabu,650.19,22,7159,1000,1000
